"","Date","Stock","Values"
"489",1997-09-30,14816,0.033963
"490",1997-10-31,14816,0.115652
"491",1997-11-28,14816,0.128259
"492",1997-12-31,14816,-0.030753
"493",1997-01-31,15069,0.110683
"494",1997-02-28,15069,0.003236
"495",1997-03-31,15069,0.042648
"496",1997-04-30,15069,-0.013269
"497",1997-05-30,15069,0.083426
"498",1997-06-30,15069,-0.037173
"499",1997-07-31,15069,0.110419
"500",1997-08-29,15069,0.013453
"501",1997-09-30,15069,0.137635
"502",1997-10-31,15069,-0.042855
"503",1997-11-28,15069,-0.040543
"504",1997-12-31,15069,-0.019399
"505",1997-01-31,15202,-0.027087
"506",1997-02-28,15202,0.092234
"507",1997-03-31,15202,-0.002369
"508",1997-04-30,15202,0.003407
"509",1997-05-30,15202,0.118924
"510",1997-06-30,15202,0.071642
"511",1997-07-31,15202,0.089649
"512",1997-08-29,15202,0.024663
"513",1997-09-30,15202,-0.014357
"514",1997-10-31,15202,0.016633
"515",1997-11-28,15202,0.14636
"516",1997-12-31,15202,-0.000497999999999999
"517",1997-01-31,15203,0.206026
"518",1997-02-28,15203,-0.0039
"519",1997-03-31,15203,0.050048
"520",1997-04-30,15203,0.016319
"521",1997-05-30,15203,-0.035203
"522",1997-06-30,15203,0.287967
"523",1997-07-31,15203,0.011829
"524",1997-08-29,15203,0.027646
"525",1997-09-30,15203,0.472523
"526",1997-10-31,15203,-0.170867
"527",1997-11-28,15203,-0.0039
"528",1997-12-31,15203,-0.0548
"529",1997-01-31,15456,-0.078364
"530",1997-02-28,15456,0.02064
"531",1997-03-31,15456,0.11546
"532",1997-04-30,15456,-0.084514
"533",1997-05-30,15456,0.117193
"534",1997-06-30,15456,-0.008881
"535",1997-07-31,15456,0.175388
"536",1997-08-29,15456,-0.213813
"537",1997-09-30,15456,-0.015573
"538",1997-10-31,15456,-0.145443
"539",1997-11-28,15456,0.134258
"540",1997-12-31,15456,-0.062603
"541",1997-01-31,15579,0.224912
"542",1997-02-28,15579,-0.019849
"543",1997-03-31,15579,-0.031269
"544",1997-04-30,15579,0.187687
"545",1997-05-30,15579,0.000702
"546",1997-06-30,15579,-0.065176
"547",1997-07-31,15579,0.36373
"548",1997-08-29,15579,-0.016057
"549",1997-09-30,15579,0.176414
"550",1997-10-31,15579,-0.208025
"551",1997-11-28,15579,-0.073613
"552",1997-12-31,15579,-0.096286
"553",1997-01-31,15580,0.056724
"554",1997-02-28,15580,-0.042362
"555",1997-03-31,15580,0.0357
"556",1997-04-30,15580,-0.119685
"557",1997-05-30,15580,0.060317
"558",1997-06-30,15580,-0.024108
"559",1997-07-31,15580,0.006117
"560",1997-08-29,15580,0.109302
"561",1997-09-30,15580,0.180785
"562",1997-10-31,15580,0.0583
"563",1997-11-28,15580,0.157865
"564",1997-12-31,15580,0.020516
"565",1997-01-31,15720,0.070972
"566",1997-02-28,15720,0.001948
"567",1997-03-31,15720,0.042212
"568",1997-04-30,15720,-0.059856
"569",1997-05-30,15720,0.108195
"570",1997-06-30,15720,0.060471
"571",1997-07-31,15720,0.020826
"572",1997-08-29,15720,-0.048654
"573",1997-09-30,15720,0.042232
"574",1997-10-31,15720,0.020552
"575",1997-11-28,15720,0.042441
"576",1997-12-31,15720,0.01851
"577",1997-01-31,15721,0.056524
"578",1997-02-28,15721,-0.224679
"579",1997-03-31,15721,0.179033
"580",1997-04-30,15721,-0.018385
"581",1997-05-30,15721,0.088978
"582",1997-06-30,15721,-0.0037
"583",1997-07-31,15721,0.264357
"584",1997-08-29,15721,0.062812
"585",1997-09-30,15721,0.237502
"586",1997-10-31,15721,-0.020848
"587",1997-11-28,15721,-0.113381
"588",1997-12-31,15721,-0.04409
"589",1997-01-31,16126,0.219381
"590",1997-02-28,16126,-0.095363
"591",1997-03-31,16126,0.143083
"592",1997-04-30,16126,-0.133712
"593",1997-05-30,16126,0.319424
"594",1997-06-30,16126,0.292218
"595",1997-07-31,16126,0.062629
"596",1997-08-29,16126,0.091841
"597",1997-09-30,16126,0.153849
"598",1997-10-31,16126,-0.164084
"599",1997-11-28,16126,-0.059263
"600",1997-12-31,16126,-0.191613
"601",1997-01-31,16417,-0.032669
"602",1997-02-28,16417,0.059868
"603",1997-03-31,16417,-0.017999
"604",1997-04-30,16417,0.009589
"605",1997-05-30,16417,0.000579000000000001
"606",1997-06-30,16417,0.153834
"607",1997-07-31,16417,-0.016134
"608",1997-08-29,16417,-0.017274
"609",1997-09-30,16417,0.001698
"610",1997-10-31,16417,-0.0042
"611",1997-11-28,16417,0.170645
"612",1997-12-31,16417,-0.020344
"613",1997-01-31,16432,0.056327
"614",1997-02-28,16432,-0.030872
"615",1997-03-31,16432,-0.011409
"616",1997-04-30,16432,0.000473
"617",1997-05-30,16432,0.109684
"618",1997-06-30,16432,0.080882
"619",1997-07-31,16432,0.017418
"620",1997-08-29,16432,-0.047114
"621",1997-09-30,16432,0.111219
"622",1997-10-31,16432,-0.093291
"623",1997-11-28,16432,-0.030048
"624",1997-12-31,16432,0.043604
"625",1997-01-31,16505,-0.0045
"626",1997-02-28,16505,0.062767
"627",1997-03-31,16505,-0.013189
"628",1997-04-30,16505,-0.043032
"629",1997-05-30,16505,0.075686
"630",1997-06-30,16505,0.096097
"631",1997-07-31,16505,0.035948
"632",1997-08-29,16505,0.025662
"633",1997-09-30,16505,0.22612
"634",1997-10-31,16505,-0.136275
"635",1997-11-28,16505,0.153709
"636",1997-12-31,16505,-0.071091
"637",1997-01-31,16548,0.007405
"638",1997-02-28,16548,0.038453
"639",1997-03-31,16548,-0.029868
"640",1997-04-30,16548,-0.007215
"641",1997-05-30,16548,0.078141
"642",1997-06-30,16548,0.001735
"643",1997-07-31,16548,0.099754
"644",1997-08-29,16548,-0.032007
"645",1997-09-30,16548,0.08939
"646",1997-10-31,16548,-0.070249
"647",1997-11-28,16548,0.014959
"648",1997-12-31,16548,-0.034212
"649",1997-01-31,16555,-0.03127
"650",1997-02-28,16555,0.012229
"651",1997-03-31,16555,-0.087633
"652",1997-04-30,16555,-0.025426
"653",1997-05-30,16555,0.294207
"654",1997-06-30,16555,-0.130848
"655",1997-07-31,16555,0.088692
"656",1997-08-29,16555,0.052161
"657",1997-09-30,16555,-0.007836
"658",1997-10-31,16555,0.063455
"659",1997-11-28,16555,0.025368
"660",1997-12-31,16555,0.034694
"661",1997-01-31,16600,-0.035929
"662",1997-02-28,16600,0.077516
"663",1997-03-31,16600,0.09159
"664",1997-04-30,16600,0.0807
"665",1997-05-30,16600,0.033349
"666",1997-06-30,16600,-0.018177
"667",1997-07-31,16600,-0.00543
"668",1997-08-29,16600,-0.034055
"669",1997-09-30,16600,0.054148
"670",1997-10-31,16600,-0.026324
"671",1997-11-28,16600,0.110942
"672",1997-12-31,16600,0.004365
"673",1997-01-31,16678,0.022382
"674",1997-02-28,16678,0.106048
"675",1997-03-31,16678,-0.042036
"676",1997-04-30,16678,0.074131
"677",1997-05-30,16678,-0.063991
"678",1997-06-30,16678,0.117073
"679",1997-07-31,16678,0.015097
"680",1997-08-29,16678,0.014927
"681",1997-09-30,16678,-0.002325
"682",1997-10-31,16678,0.076545
"683",1997-11-28,16678,0.051656
